State,Name,Rank,Index
AK,alaska,49,135.65
AL,alabama,11,92.23
AR,arkansas,4,90.8
AZ,arizona,35,102.72
CA,california,46,130.02
CO,colorado,30,99.76
CT,connecticut,47,132.74
DC,district of columbia,50,144.6
DE,delaware,37,108.24
FL,florida,27,99.21
GA,georgia,14,93.88
HI,hawaii,51,165.79
IA,iowa,18,94.9
ID,idaho,6,91.41
IL,illinois,24,96.98
IN,indiana,5,91.31
KS,kansas,9,91.89
KY,kentucky,2,89.92
LA,louisiana,15,93.95
MA,massachusetts,42,121.24
MD,maryland,43,123.39
ME,maine,39,112.26
MI,michigan,21,95.37
MN,minnesota,33,101.27
MO,missouri,12,92.72
MS,mississippi,17,94.63
MT,montana,31,100.06
NC,north carolina,20,95.31
ND,north dakota,28,99.48
NE,nebraska,8,91.58
NH,new hampshire,41,121.03
NJ,new jersey,45,128.62
NM,new mexico,25,97.71
NV,nevada,19,94.91
NY,new york,48,133.6
OH,ohio,16,94.33
OK,oklahoma,3,90.12
OR,oregon,38,108.64
PA,pennsylvania,34,101.69
RI,rhode island,44,125.54
SC,south carolina,23,96.84
SD,south dakota,29,99.74
TN,tennessee,1,89.63
TX,texas,7,91.46
UT,utah,10,92.16
VA,virginia,22,95.82
VT,vermont,40,120.22
WA,washington,32,100.63
WI,wisconsin,26,98.43
WV,west virginia,13,92.93
WY,wyoming,36,103.86
