Region,Medical Center,City,State
West,California Pacific Medical Center,San Francisco,CA
West,Cedars-Sinai Medical Center,Los Angeles,CA
West,Children’s Hospital & Research Center Oakland,Oakland,CA
West,Children’s Hospital of Orange County,Orange,CA
West,Children’s Hospital Los Angeles,Los Angeles,CA
West,City of Hope National Medical Center,Duarte,CA
West,Harborview Medical Center (UW Medicine),Seattle,WA
West,Hoag Hospitals,Newport Beach,CA
West,Kerlan-Jobe Orthopedic Clinic,Los Angeles,CA
West,LAC + USC Medical Center,Los Angeles,CA
West,Lucile Packard Children’s Hospital Stanford,Stanford,CA
West,Mayo Clinic in Arizona,Scottsdale,AZ
West,National Jewish Health,Denver,CO
West,Saint  John’s Health Center,Santa Monica,CA
West,Scripps Health,La Jolla,CA
West,Seattle Cancer Care Alliance,Seattle,WA
West,Seattle Children’s Hospital,Seattle,WA
West,Stanford Hospital & Clinics,Stanford,CA
West,Steadman Hawkins Clinic Denver,Denver,CO
West,Swedish,Seattle,WA
West,UC Davis Medical Center,Sacramento,CA
West,UC Irvine Health,Orange,CA
West,UC San Diego Health System,San Diego,CA
West,UCLA Health,Los Angeles,CA
West,UCSF Benioff Children’s Hospital,San Francisco,CA
West,UCSF Medical Center,San Francisco,CA
West,University of Colorado Health,Aurora,CO
West,UW Medicine,Seattle,WA
West,Virginia Mason Hospital & Medical Center,Seattle,WA
Midwest,Ann and Robert H. Lurie Children’s Hospital of Chicago,Chicago,IL
Midwest,Aurora St. Luke’s Medical Center,Milwaukee,WI
Midwest,Barnes-Jewish Hospital,St. Louis,MO
Midwest,Cincinnati  Children’s Hospital Medical Center,Cincinnati,OH
Midwest,Froedtert & the Medical College of Wisconsin Froedtert Hospital,Milwaukee,WI
Midwest,Mayo Clinic  in Minnesota,Rochester,MN
Midwest,NorthShore University HealthSystem,Chicago,IL
Midwest,Northwestern Memorial Hospital,Chicago,IL
Midwest,Ohio State University Hospital,Columbus,OH
Midwest,Orthopedic Hospital of Wisconsin,Glendale,WI
Midwest,Rehabilitation Institute of Chicago,Chicago,IL
Midwest,Rush University Medical Center,Chicago,IL
Midwest,University Hospitals Case Medical Center,Cleveland,OH
Midwest,University of Chicago Medical Center,Chicago,IL
Midwest,University of Iowa Hospitals and Clinics,Iowa City,IA
Midwest,University of Minnesota Medical Center,Minneapolis,MN
Midwest,University of Wisconsin Hospital and Clinics,Madison,WI
Midwest,Washington University Medical Center,St. Louis,Mo
South,Andrews Institute for Orthopaedics & Sports Medicine,Gulf Breeze,FL
South,Baptist Hospital of Miami,Miami,FL
South,Bascom Palmer Eye Institute,Miami,FL
South,Baylor Health Care System,Dallas,TX
South,Broward Health Medical Center,Fort Lauderdale,FL
South,Children’s Healthcare of Atlanta,Atlanta,GA
South,Children’s Medical Center Dallas,Dallas,TX
South,Cleveland Clinic Florida,Weston,FL
South,Cooper Clinic,Dallas,TX
South,Doctors Hospital (Baptist Health),Coral Gables,FL
South,Duke Health,Durham,NC
South,Emory Healthcare,Atlanta,GA
South,Houston Methodist,Houston ,TX
South,Laser Spine Institute,Tampa,FL
South,Mayo Clinic in Florida,Jacksonville,FL
South,Miami Children’s Hospital,Miami,FL
South,Moffitt Cancer Center,Tampa,FL
South,Mount Sinai Medical Center,Miami Beach,FL
South,NCH Healthcare System,Naples,FL
South,Physicians Regional Healthcare System,Naples,FL
South,Piedmont Healthcare,Atlanta,GA
South,Saint Joseph’s Medical Group,Baltimore,MD
South,Shepherd Center,Atlanta,GA
South,South Miami Hospital (Baptist Health),South Miami,FL
South,St. Jude Children’s Research Hospital,Memphis,TN
South,Steadman Hawkins Clinic of the Carolinas,Greenville,SC
South,Texas Children’s Hospital,Houston ,TX
South,Texas Health Resources,Arlington,TX
South,The University of Texas MD Anderson Cancer Center,Houston ,TX
South,TIRR Memorial Hermann,Houston ,TX
South,UNC Health Care,Chapel Hill,NC
South,University of Miami Health System,Miami,FL
South,University of Virginia Health System,Charlottesville,VA
South,UT Southwestern Medical Center,Dallas,TX
South,Vanderbilt University Medical Center,Nashville,TN
South,Wake Forest Baptist Health,Winston-Salem,NC
Northeast,Anne Arundel Medical Center,Annapolis,MD
Northeast,Beth Israel Deaconess Medical Center,Boston,MA
Northeast,Boston Children’s Hospital,Boston,MA
Northeast,Children’s National Health System,Washington,DC
Northeast,Dartmouth-Hitchcock Medical Center,Lebanon,NH
Northeast,GBMC HealthCare System,Baltimore,MD
Northeast,Hackensack University Medical Center,Hackensack,NJ
Northeast,Hospital for Joint Diseases,New York,NY
Northeast,Hospital for Special Surgery,New York,NY
Northeast,Hospital of the University of Pennsylvania,Philadelphia,PA
Northeast,Inova Fairfax Hospital,Falls Church,VA
Northeast,Johns Hopkins Medicine,Baltimore,MD
Northeast,Kennedy Krieger Institute,Baltimore,MD
Northeast,Lankenau Medical Center,Wynnewood,PA
Northeast,Lenox Hill Hospital,New York,NY
Northeast,Massachusetts Eye and Ear Infirmary,Boston,MA
Northeast,McLean Hospital,Belmont,MA
Northeast,Medstar Georgetown University Hospital,Washington,DC
Northeast,Medstar Union Memorial Hospital,Baltimore,MD
Northeast,Medstar Washington Hospital Center,Washington,DC
Northeast,Memorial Sloan Kettering Cancer Center,New York,NY
Northeast,Mercy Medical Center,Baltimore,MD
Northeast,Morristown Medical Center,Morristown,NJ
Northeast,Mount Sinai Hospital,New York,NY
Northeast,Mount Sinai St. Luke’s,New York,NY
Northeast,North Shore LIJ,Great Neck,NY
Northeast,NYP/Columbia University Medical Center,New York,NY
Northeast,NYP/Morgan Stanley Children’s Hospital,New York,NY
Northeast,NYP/Weill Cornell Medical Center,New York,NY
Northeast,NYU Langone Medical Center,New York,NY
Northeast,Robert Wood Johnson University Hospital,New Brunswick,NJ
Northeast,Roswell Park Cancer Institute,Buffalo,NY
Northeast,Rothman Institute,Philadelphia,PA
Northeast,Sinai Hospital,Baltimore,MD
Northeast,Spaulding Rehabilitation Network,Charlestown,MA
Northeast,The  Brigham and Women’s Hospital,Boston,MA
Northeast,The  Dana-Farber Cancer Institute,Boston,MA
Northeast,The Children’s Hospital of Philadelphia,Philadelphia,PA
Northeast,The George Washington University Hospital,Washington,DC
Northeast,"The Manhattan Eye, Ear & Throat Hospital",New York,NY
Northeast,The Massachusetts General Hospital,Boston,MA
Northeast,Thomas Jefferson University Hospitals,Philadelphia,PA
Northeast,University of Maryland Medical Center,Baltimore,MD
Northeast,University of Pennsylvania Health System,Philadelphia,PA
Northeast,University of Pittsburgh Medical Center,Pittsburgh,PA
Northeast,Winthrop-University Hospital,Mineola,NY
Northeast,Yale New Haven Health System,New Haven,CT
